AthleteID,Sex,BestMedal,NSeasons
100857,M,None,1
100858,M,None,1
100859,M,Bronze,1
10086,M,None,1
100860,M,Silver,1
100861,M,None,1
100862,M,None,1
100863,M,Bronze,2
100864,M,Silver,3
100865,F,Gold,1
100866,F,Silver,2
100867,M,None,1
100868,M,None,1
100869,M,None,1
10087,M,Bronze,1
100870,M,None,1
100871,M,None,1
100872,F,None,1
100873,F,Gold,2
100874,F,None,1
100875,M,None,1
100876,M,None,1
100877,M,None,1
100878,M,None,1
100879,M,None,1
10088,F,None,1
100880,M,None,1
100881,M,Gold,1
100882,M,Gold,1
100883,M,None,3
100884,F,Silver,1
100885,F,Silver,2
100886,M,None,1
100887,M,None,1
100888,F,None,2
100889,F,None,1
10089,F,None,1
100891,M,None,1
100892,M,None,2
100893,M,None,1
100894,M,None,1
100895,M,None,1
100896,F,None,1
100897,M,None,1
100898,M,None,1
100899,F,None,1
1009,M,None,1
10090,F,None,3
100900,M,None,2
100901,M,None,1
100902,F,Bronze,2
100903,F,None,1
100904,M,None,1
100905,M,Gold,3
100907,M,None,1
100908,M,None,1
100909,F,None,1
10091,M,None,1
100911,M,None,1
100912,F,None,1
100913,M,None,1
100915,M,None,1
100916,M,None,1
100917,M,None,1
100918,M,None,2
100919,F,None,1
10092,M,None,1
100920,F,None,1
100921,M,None,1
100922,M,Gold,1
100923,M,Gold,2
100924,M,None,2
100925,M,None,1
100926,F,None,2
100927,F,None,1
100928,F,None,1
100929,M,None,1
10093,M,None,1
100930,M,Bronze,2
100931,M,None,1
100932,M,None,1
100933,M,None,1
100934,M,None,1
100935,M,Gold,2
100936,M,None,1
100937,F,Gold,4
100938,M,None,1
100939,M,None,1
10094,M,None,1
100940,M,None,1
100941,M,None,2
100942,F,Silver,3
100943,M,None,1
100944,M,None,1
100945,M,None,1
100946,M,None,2
100947,M,Bronze,1
100948,M,None,2
100949,M,None,1
10095,M,Silver,1
100950,M,None,1
100951,M,None,1
100952,F,None,1
100953,M,None,1
100954,F,None,1
100955,M,None,1
100956,M,None,1
100957,M,None,2
100959,M,None,1
10096,F,None,1
100960,M,None,1
100961,M,None,1
100962,M,None,1
100963,M,None,3
100964,M,None,1
100965,M,None,1
100966,M,None,1
100967,M,None,3
100968,M,None,1
100969,M,None,1
10097,M,None,1
100970,F,None,1
100971,M,None,1
100972,F,None,1
100973,M,None,1
100974,M,None,1
100975,M,None,1
100976,F,None,2
100977,M,None,1
100978,M,None,1
100979,F,None,1
10098,F,Silver,3
100980,M,None,1
100981,M,None,1
